# accession,Tm,ogt,species
F8WJ05,47.789468574856194,37,Mus musculus
F8WJ31,48.474984264463636,37,Mus musculus
F8WJ41,48.44270761763748,37,Mus musculus
F8WJ74,47.58586838585765,37,Mus musculus
F8WJ93,51.25311660243121,37,Mus musculus
F8WJA0,44.1582083188682,37,Mus musculus
F8WJB0,49.78480864674243,37,Mus musculus
F8WJB9,46.94856634878509,37,Mus musculus
F8WJD4,46.833491030714896,37,Mus musculus
F8WJE0,53.30182732303824,37,Mus musculus
G1E6H3,46.811958351486105,37,Escherichia coli
G1K0V8,48.253213309493745,20,Caenorhabditis elegans
G1K0W1,43.09706358473136,20,Caenorhabditis elegans
G2HK06,35.201029922686345,20,Caenorhabditis elegans
G3MU14,42.20226170059476,20,Caenorhabditis elegans
G3MU40,30.935361475687632,20,Caenorhabditis elegans
G3MU81,35.534212235614206,20,Caenorhabditis elegans
G3UVU2,49.00907079442218,37,Mus musculus
G3UVV4,49.45290918357763,37,Mus musculus
G3UW46,53.09157622098269,37,Mus musculus
G3UW82,54.52998393317866,37,Mus musculus
G3UW90,50.71379002071267,37,Mus musculus
G3UWQ7,49.24572932474051,37,Mus musculus
G3UWZ0,48.382994945089365,37,Mus musculus
G3UX26,50.36112302547514,37,Mus musculus
G3UX50,52.42880630612033,37,Mus musculus
G3UX84,50.64046602384475,37,Mus musculus
G3UXB6,48.20713295149442,37,Mus musculus
G3UXH4,46.47796704455984,37,Mus musculus
G3UXL2,56.59329821839077,37,Mus musculus
G3UXW9,53.01718283341268,37,Mus musculus
G3UXZ5,52.490306719631484,37,Mus musculus
G3UYD0,45.97213769891694,37,Mus musculus
G3UYG6,47.17970763854621,37,Mus musculus
G3UYJ3,52.26145983143937,37,Mus musculus
G3UYJ7,51.62108048742532,37,Mus musculus
G3UYQ3,52.6830074218552,37,Mus musculus
G3UYS3,46.00564529542472,37,Mus musculus
G3UYU4,55.75287649632528,37,Mus musculus
G3UYU5,56.02961230784728,37,Mus musculus
G3UZ39,49.30355592145452,37,Mus musculus
G3UZ60,51.868950491966054,37,Mus musculus
G3UZ63,55.301545566309336,37,Mus musculus
G3UZA0,49.92515185384606,37,Mus musculus
G3UZK1,46.12470588685393,37,Mus musculus
G3V119,47.02888243600492,37,Homo sapiens
G3V126,51.692129194827054,37,Homo sapiens
G3V136,53.518660785261815,37,Homo sapiens
G3V180,51.40374953372035,37,Homo sapiens
G3V1A6,48.675163536069945,37,Homo sapiens
G3V1L9,50.5744523660953,37,Homo sapiens
G3V1N2,51.78964187449137,37,Homo sapiens
G3V1Q4,53.31283656669653,37,Homo sapiens
G3V1S3,56.46833704871146,37,Homo sapiens
G3V1T4,48.421174906159784,37,Homo sapiens
G3V1V0,51.92192643180711,37,Homo sapiens
G3V203,59.0014512531726,37,Homo sapiens
G3V2F7,56.24951073319757,37,Homo sapiens
G3V2S9,44.725843599902284,37,Homo sapiens
G3V2U7,53.81448134933702,37,Homo sapiens
G3V325,44.44476818913974,37,Homo sapiens
G3V3A4,53.22607434703417,37,Homo sapiens
G3V3G0,53.61268315594076,37,Homo sapiens
G3V3G9,51.24149715983654,37,Homo sapiens
G3V434,54.56707299702844,37,Homo sapiens
G3V483,54.8418000117793,37,Homo sapiens
G3V4F0,54.41712557833668,37,Homo sapiens
G3V4K3,49.208408502639635,37,Homo sapiens
G3V4T2,50.8533481111117,37,Homo sapiens
G3V4T6,52.869711284044364,37,Homo sapiens
G3V4Z4,45.8686252211656,37,Homo sapiens
G3V526,52.995412068756956,37,Homo sapiens
G3V578,53.49193883785946,37,Homo sapiens
G3V5I3,50.33768466082994,37,Homo sapiens
G3V5N4,54.37355329081949,37,Homo sapiens
G3V5N8,52.465959199175416,37,Homo sapiens
G3V5R9,51.67881010204205,37,Homo sapiens
G3V5T9,51.712937269068604,37,Homo sapiens
G3X8Q0,44.51053968290361,37,Mus musculus
G3X8R4,48.25309221427601,37,Mus musculus
G3X8R5,47.04494676100982,37,Mus musculus
G3X8S2,43.74464785679734,37,Mus musculus
G3X8S8,48.29699822593244,37,Mus musculus
G3X8U3,47.49072791309467,37,Mus musculus
G3X8U8,46.32118926907774,37,Mus musculus
G3X8V5,52.23175292344654,37,Mus musculus
G3X8X0,49.94876413852245,37,Mus musculus
G3X8X7,47.9440211232219,37,Mus musculus
G3X8Y3,48.761737845503895,37,Mus musculus
G3X914,49.68790443293728,37,Mus musculus
G3X920,51.003917283560476,37,Mus musculus
G3X922,52.9214872747448,37,Mus musculus
G3X928,50.24967996684415,37,Mus musculus
G3X934,53.4053877557746,37,Mus musculus
G3X937,53.3210695454449,37,Mus musculus
G3X956,49.07921629393865,37,Mus musculus
G3X972,49.78574075194269,37,Mus musculus
G3X975,47.479873396303304,37,Mus musculus
G3X983,46.28059076457729,37,Mus musculus
G3X9B1,48.43075021452901,37,Mus musculus
G3X9H5,47.95806961347434,37,Mus musculus
G3X9H7,51.970455287885336,37,Mus musculus
G3X9I1,54.66548533167145,37,Mus musculus
G3X9J0,51.009247494927884,37,Mus musculus
G3X9J4,46.50946267842505,37,Mus musculus
G3X9J6,53.73984641785158,37,Mus musculus
G3X9K8,54.3561913419009,37,Mus musculus
G3X9L6,55.71436339442684,37,Mus musculus
G3X9M0,44.59959304903902,37,Mus musculus
G3X9Q3,47.56204023657754,37,Mus musculus
G3X9U9,49.27066260810165,37,Mus musculus
G3X9V2,44.94497282477335,37,Mus musculus
G3X9Y5,47.566774546437166,37,Mus musculus
G3X9Z4,47.17760670475611,37,Mus musculus
G3XA09,46.63696535519394,37,Mus musculus
G3XA10,45.1256678920223,37,Mus musculus
G3XA17,46.14443907782368,37,Mus musculus
G3XA21,45.69200385312975,37,Mus musculus
G3XA25,57.51903282952348,37,Mus musculus
G3XA30,48.65201226186289,37,Mus musculus
G3XA39,50.09626938639513,37,Mus musculus
G3XA48,53.23825609147263,37,Mus musculus
